"jan 2010",18350,90912,11433
"okt 2009",18348,86738,10802
"jul 2009",19147,87389,10804
"apr 2009",18653,86369,10711
"jan 2009",20218,90851,11356
"okt 2008",19167,86748,10721
"jul 2008",19917,87359,11042
"apr 2008",20703,90054,10828
"jan 2008",21518,91782,11501
"okt 2007",20943,89180,10828
"jul 2007",21146,88180,11089
"apr 2007",23929,93641,11272
"jan 2007",24272,91243,11133
"okt 2006",20201,76486,9623
"jul 2006",18991,67978,9109
"apr 2006",15827,56489,7536
"jan 2006",13833,46593,7183
"okt 2005",7753,29530,4697
"jul 2005",7305,25478,4247
"apr 2005",5190,18519,3221
"jan 2005",3411,13245,2265
"okt 2004",3086,10826,1914
"jul 2004",2512,8396,1611
"apr 2004",1846,6344,1231
"jan 2004",944,3189,674
"okt 2003",611,2087,410
"jul 2003",516,1589,321
"apr 2003",249,872,207
"jan 2003",314,839,189
"okt 2002",187,507,139
"jul 2002",90,280,75
"apr 2002",46,199,37
"jan 2002",76,204,26
"okt 2001",56,142,12
"jul 2001",14,47,
"apr 2001",9,20,2
"jan 2001",7,9,
